task,setting,model,ratio,neg_per_pos,n_pos,n_neg,prevalence,auprc,auprc_over_floor,auroc
task1,cold_microbe,ra,2,2.0,47,94,0.3333333333333333,0.28783579601684606,0.8635073880505382,0.4283612494341331
task1,cold_microbe,random,orig,0.0329246935201401,2855,94,0.9681247880637505,0.9717108622944856,1.0037041446257224,0.5146178783023437
task1,cold_microbe,random,0.5,0.5,188,94,0.6666666666666666,0.7076935644993982,1.0615403467490974,0.5215029425079222
task1,cold_microbe,random,1,1.0,94,94,0.5,0.5575903296494155,1.115180659298831,0.5271616115889542
task1,cold_microbe,random,2,2.0,47,94,0.3333333333333333,0.39462998132543026,1.1838899439762909,0.5330466274332277
task1,cold_microbe,rgcn,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9924553835111174,1.0271747009841523,0.8270078945909778
task1,cold_microbe,rgcn,0.5,0.5,188,94,0.6666666666666666,0.9046809376424416,1.3570214064636625,0.811453146220009
task1,cold_microbe,rgcn,1,1.0,94,94,0.5,0.8583608852334139,1.7167217704668278,0.8363512901765504
task1,cold_microbe,rgcn,2,2.0,47,94,0.3333333333333333,0.7820332699243066,2.34609980977292,0.8666817564508829
task1,cold_microbe,rotate,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9653922445662027,0.9991648054107218,0.4609427582766512
task1,cold_microbe,rotate,0.5,0.5,188,94,0.6666666666666666,0.6933482656863499,1.040022398529525,0.5015278406518786
task1,cold_microbe,rotate,1,1.0,94,94,0.5,0.5198383530350349,1.0396767060700698,0.4687641466727026
task1,cold_microbe,rotate,2,2.0,47,94,0.3333333333333333,0.3625734534619539,1.0877203603858618,0.454051607062019
task1,cold_microbe,transe,orig,0.034983252698176405,2687,94,0.9661992089176555,0.9727494399895399,1.0067793794607036,0.5392116494706586
task1,cold_microbe,transe,0.5,0.5,188,94,0.6666666666666666,0.7242629665682745,1.0863944498524118,0.5478723404255319
task1,cold_microbe,transe,1,1.0,94,94,0.5,0.5833509475851192,1.1667018951702384,0.5365550022634676
task1,cold_microbe,transe,2,2.0,47,94,0.3333333333333333,0.3942352838153176,1.1827058514459527,0.5289723856948846
task1,cold_disease,cn,orig,0.04045643153526971,1928,78,0.9611166500498505,0.9595172952004041,0.9983359409605864,0.48144416959250985
task1,cold_disease,cn,0.5,0.5,156,78,0.6666666666666666,0.6555330634278003,0.9832995951417004,0.46437376725838264
task1,cold_disease,cn,1,1.0,78,78,0.5,0.4893162393162393,0.9786324786324786,0.4675378040762656
task1,cold_disease,cn,2,2.0,39,78,0.3333333333333333,0.3254437869822485,0.9763313609467456,0.4738658777120316
task1,cold_disease,complex,orig,0.04045643153526971,1928,78,0.9611166500498505,0.9403057288714819,0.9783471432137929,0.5595342589637196
task1,cold_disease,complex,0.5,0.5,156,78,0.6666666666666666,0.6306675028702626,0.946001254305394,0.5544871794871795
task1,cold_disease,complex,1,1.0,78,78,0.5,0.4937310677280813,0.9874621354561626,0.5802103879026956
task1,cold_disease,complex,2,2.0,39,78,0.3333333333333333,0.33471677135747,1.0041503140724102,0.5657462195923735
task1,cold_disease,conve,orig,0.04045643153526971,1928,78,0.9611166500498505,0.9210722781606783,0.9583355757211206,0.2131942227896585
task1,cold_disease,conve,0.5,0.5,156,78,0.6666666666666666,0.508893556326153,0.7633403344892294,0.1946088099934254
task1,cold_disease,conve,1,1.0,78,78,0.5,0.34475840711801053,0.6895168142360211,0.17324128862590402
task1,cold_disease,conve,2,2.0,39,78,0.3333333333333333,0.25301091623194716,0.7590327486958415,0.30111768573307035
task1,cold_disease,distmult,orig,0.04045643153526971,1928,78,0.9611166500498505,0.928203864226069,0.9657556803099038,0.4576417704011065
task1,cold_disease,distmult,0.5,0.5,156,78,0.6666666666666666,0.5938569549026189,0.8907854323539284,0.47181130834976986
task1,cold_disease,distmult,1,1.0,78,78,0.5,0.43593981339312926,0.8718796267862585,0.4648257725180802
task1,cold_disease,distmult,2,2.0,39,78,0.3333333333333333,0.2834586643625927,0.8503759930877781,0.44017094017094016
task1,cold_disease,l3,orig,0.04045643153526971,1928,78,0.9611166500498505,0.953205686748981,0.9917689873539709,0.4257135067560378
task1,cold_disease,l3,0.5,0.5,156,78,0.6666666666666666,0.6231796639444425,0.9347694959166637,0.4099687705456936
task1,cold_disease,l3,1,1.0,78,78,0.5,0.44616529461347604,0.8923305892269521,0.3561801446416831
task1,cold_disease,l3,2,2.0,39,78,0.3333333333333333,0.3152018833166024,0.9456056499498073,0.4477317554240631
task1,cold_disease,pairre,orig,0.04045643153526971,1928,78,0.9611166500498505,0.8784526808573133,0.9139917415973913,0.054799712735397375
task1,cold_disease,pairre,0.5,0.5,156,78,0.6666666666666666,0.46065869883821975,0.6909880482573296,0.048898750821827736
task1,cold_disease,pairre,1,1.0,78,78,0.5,0.3159002429411499,0.6318004858822998,0.04947403024326101
task1,cold_disease,pairre,2,2.0,39,78,0.3333333333333333,0.19698580297561946,0.5909574089268584,0.05193951347797501
task1,cold_disease,popularity,orig,0.039473684210526314,1976,78,0.9620253164556962,0.9626815947664008,1.0006821840334956,0.5135666459047026
task1,cold_disease,popularity,0.5,0.5,156,78,0.6666666666666666,0.6662809855843237,0.9994214783764855,0.5051775147928994
task1,cold_disease,popularity,1,1.0,78,78,0.5,0.4891090262872441,0.9782180525744882,0.48298816568047337
task1,cold_disease,popularity,2,2.0,39,78,0.3333333333333333,0.350534188034188,1.0516025641025641,0.5379684418145957
task1,cold_disease,ra,orig,0.04045643153526971,1928,78,0.9611166500498505,0.9576930606088946,0.9964379043472212,0.47943930205340995
task1,cold_disease,ra,0.5,0.5,156,78,0.6666666666666666,0.6497956965062228,0.9746935447593342,0.46264792899408286
task1,cold_disease,ra,1,1.0,78,78,0.5,0.49102564102564106,0.9820512820512821,0.46778435239973704
task1,cold_disease,ra,2,2.0,39,78,0.3333333333333333,0.327284681130835,0.9818540433925049,0.4741946088099934
task1,cold_disease,random,orig,0.039473684210526314,1976,78,0.9620253164556962,0.9666331618244008,1.0047897340016798,0.5338225371120109
task1,cold_disease,random,0.5,0.5,156,78,0.6666666666666666,0.6924014282511108,1.0386021423766663,0.5327087442472057
task1,cold_disease,random,1,1.0,78,78,0.5,0.526401530878779,1.052803061757558,0.5382971729125574
task1,cold_disease,random,2,2.0,39,78,0.3333333333333333,0.3237537194962208,0.9712611584886623,0.4976988823142669
task1,cold_disease,rgcn,orig,0.04045643153526971,1928,78,0.9611166500498505,0.9597638874087567,0.9985925094097334,0.4875186190020215
task1,cold_disease,rgcn,0.5,0.5,156,78,0.6666666666666666,0.6698630224573203,1.0047945336859805,0.482577251808021
task1,cold_disease,rgcn,1,1.0,78,78,0.5,0.46029118976066874,0.9205823795213375,0.44345825115055887
task1,cold_disease,rgcn,2,2.0,39,78,0.3333333333333333,0.36512512380151785,1.0953753714045535,0.5292570677186061
task1,cold_disease,rotate,orig,0.04045643153526971,1928,78,0.9611166500498505,0.9510855078638811,0.9895630335969634,0.3811176720927758
task1,cold_disease,rotate,0.5,0.5,156,78,0.6666666666666666,0.5867497798092005,0.8801246697138008,0.3465647600262985
task1,cold_disease,rotate,1,1.0,78,78,0.5,0.43696758530539637,0.8739351706107927,0.35913872452333995
task1,cold_disease,rotate,2,2.0,39,78,0.3333333333333333,0.2958405918430376,0.8875217755291129,0.3527284681130835
